delivery_id,order_id,date,delivery_slot,distance_km,time_taken_min,delivery_cost_inr,status
DEL00001,ORD00001,2024-03-09,12:00-15:00,43.35,144.0,143.5,Delivered
DEL00002,ORD00002,2024-03-02,09:00-12:00,34.62,86.7,118.63,Delivered
DEL00003,ORD00003,2024-03-30,12:00-15:00,37.7,156.0,130.67,Delivered
DEL00004,ORD00004,2024-03-08,09:00-12:00,43.1,150.1,132.35,Returned
DEL00005,ORD00005,2024-03-07,15:00-18:00,4.96,18.5,43.44,Returned
DEL00006,ORD00006,2024-03-30,09:00-12:00,37.17,131.0,133.69,Delivered
DEL00007,ORD00007,2024-03-09,15:00-18:00,17.51,48.0,78.22,Delivered
DEL00008,ORD00008,2024-03-18,15:00-18:00,24.06,65.0,104.65,Delivered
DEL00009,ORD00009,2024-03-29,15:00-18:00,37.32,166.5,134.61,Delivered
DEL00010,ORD00010,2024-03-28,18:00-21:00,39.13,156.2,164.06,Delivered
DEL00011,ORD00011,2024-03-25,09:00-12:00,10.11,39.0,58.49,Delivered
DEL00012,ORD00012,2024-03-29,18:00-21:00,11.34,29.1,71.74,Delivered
DEL00013,ORD00013,2024-03-29,12:00-15:00,30.75,113.0,118.82,Delivered
DEL00014,ORD00014,2024-03-29,12:00-15:00,8.99,23.7,59.53,Delivered
DEL00015,ORD00015,2024-03-30,12:00-15:00,42.38,136.8,139.14,Delivered
DEL00016,ORD00016,2024-03-28,15:00-18:00,15.05,49.0,71.43,Delivered
DEL00017,ORD00017,2024-03-22,15:00-18:00,28.92,128.6,113.77,Delivered
DEL00018,ORD00018,2024-03-27,15:00-18:00,31.16,119.6,122.64,Delivered
DEL00019,ORD00019,2024-03-14,18:00-21:00,34.2,112.5,146.48,Delivered
DEL00020,ORD00020,2024-03-23,15:00-18:00,39.34,123.1,136.59,Returned
DEL00021,ORD00021,2024-03-30,15:00-18:00,10.25,41.3,63.84,Delivered
DEL00022,ORD00022,2024-03-10,15:00-18:00,37.88,138.1,126.63,Delivered
DEL00023,ORD00023,2024-03-01,18:00-21:00,1.29,4.3,36.11,Delivered
DEL00024,ORD00024,2024-03-17,15:00-18:00,17.7,75.4,75.41,Delivered
DEL00025,ORD00025,2024-03-20,12:00-15:00,36.38,139.0,136.18,Delivered
DEL00026,ORD00026,2024-03-08,18:00-21:00,9.52,31.0,59.13,Delivered
DEL00027,ORD00027,2024-03-23,18:00-21:00,1.92,5.9,43.37,Delivered
DEL00028,ORD00028,2024-03-23,12:00-15:00,31.52,108.0,111.42,Delivered
DEL00029,ORD00029,2024-03-18,18:00-21:00,26.95,83.2,117.09,Delivered
DEL00030,ORD00030,2024-03-16,12:00-15:00,11.13,47.4,63.03,Delivered
DEL00031,ORD00031,2024-03-10,12:00-15:00,18.03,61.4,80.72,Delivered
DEL00032,ORD00032,2024-03-23,18:00-21:00,21.16,68.2,106.38,Delivered
DEL00033,ORD00033,2024-03-27,18:00-21:00,18.3,66.1,82.11,Delivered
DEL00034,ORD00034,2024-03-13,18:00-21:00,12.81,42.7,81.87,Delivered
DEL00035,ORD00035,2024-03-01,18:00-21:00,17.4,61.8,83.53,Returned
DEL00036,ORD00036,2024-03-19,18:00-21:00,7.93,29.5,61.34,Delivered
DEL00037,ORD00037,2024-03-13,18:00-21:00,26.91,88.8,115.22,Delivered
DEL00038,ORD00038,2024-03-24,09:00-12:00,32.94,133.8,113.4,Delivered
DEL00039,ORD00039,2024-03-01,18:00-21:00,42.24,115.3,172.9,Delivered
DEL00040,ORD00040,2024-03-06,09:00-12:00,21.52,77.7,80.79,Delivered
DEL00041,ORD00041,2024-03-10,09:00-12:00,13.69,34.8,61.52,Delivered
DEL00042,ORD00042,2024-03-21,09:00-12:00,19.44,60.5,74.25,Delivered
DEL00043,ORD00043,2024-03-03,09:00-12:00,20.58,57.1,78.74,Delayed
DEL00044,ORD00044,2024-03-21,15:00-18:00,33.7,122.2,116.15,Delivered
DEL00045,ORD00045,2024-03-27,15:00-18:00,11.61,30.3,64.28,Delivered
DEL00046,ORD00046,2024-03-19,12:00-15:00,8.25,35.4,54.8,Delivered
DEL00047,ORD00047,2024-03-26,12:00-15:00,10.16,38.5,52.61,Delivered
DEL00048,ORD00048,2024-03-16,09:00-12:00,13.81,60.5,60.85,Delivered
DEL00049,ORD00049,2024-03-13,15:00-18:00,31.21,90.3,108.96,Delivered
DEL00050,ORD00050,2024-03-15,09:00-12:00,44.72,141.3,147.84,Delivered
DEL00051,ORD00051,2024-03-24,09:00-12:00,20.34,52.1,82.64,Delivered
DEL00052,ORD00052,2024-03-12,09:00-12:00,2.8,9.2,34.67,Delivered
DEL00053,ORD00053,2024-03-23,09:00-12:00,35.39,127.9,126.83,Delivered
DEL00054,ORD00054,2024-03-15,09:00-12:00,6.77,22.1,44.57,Delivered
DEL00055,ORD00055,2024-03-21,09:00-12:00,10.23,34.7,54.68,Delivered
DEL00056,ORD00056,2024-03-14,18:00-21:00,24.18,94.2,101.99,Delivered
DEL00057,ORD00057,2024-03-19,12:00-15:00,29.48,130.6,106.06,Delivered
DEL00058,ORD00058,2024-03-03,18:00-21:00,3.31,10.9,42.25,Delivered
DEL00059,ORD00059,2024-03-16,09:00-12:00,21.04,94.5,90.11,Delivered
DEL00060,ORD00060,2024-03-21,12:00-15:00,27.67,105.5,110.48,Returned
DEL00061,ORD00061,2024-03-27,18:00-21:00,29.33,115.5,130.03,Delivered
DEL00062,ORD00062,2024-03-10,09:00-12:00,6.83,22.3,50.56,Delivered
DEL00063,ORD00063,2024-03-20,15:00-18:00,10.6,35.4,56.92,Delivered
DEL00064,ORD00064,2024-03-06,18:00-21:00,14.8,54.2,84.89,Delayed
DEL00065,ORD00065,2024-03-16,15:00-18:00,6.2,25.9,46.37,Delivered
DEL00066,ORD00066,2024-03-13,15:00-18:00,14.45,36.8,69.3,Delayed
DEL00067,ORD00067,2024-03-13,18:00-21:00,8.18,34.9,63.02,Delivered
DEL00068,ORD00068,2024-03-20,15:00-18:00,13.22,47.9,66.55,Returned
DEL00069,ORD00069,2024-03-15,12:00-15:00,33.42,139.7,110.6,Delivered
DEL00070,ORD00070,2024-03-03,12:00-15:00,20.66,91.2,86.96,Returned
DEL00071,ORD00071,2024-03-10,12:00-15:00,11.36,39.5,59.95,Delivered
DEL00072,ORD00072,2024-03-13,15:00-18:00,34.73,145.3,129.04,Delivered
DEL00073,ORD00073,2024-03-26,12:00-15:00,27.59,102.2,105.65,Delivered
DEL00074,ORD00074,2024-03-12,12:00-15:00,1.36,4.8,36.94,Delivered
DEL00075,ORD00075,2024-03-25,12:00-15:00,11.21,50.2,65.96,Delivered
DEL00076,ORD00076,2024-03-19,18:00-21:00,14.07,41.9,78.82,Delivered
DEL00077,ORD00077,2024-03-21,18:00-21:00,26.7,114.8,121.81,Delivered
DEL00078,ORD00078,2024-03-28,09:00-12:00,13.55,41.5,58.16,Delivered
DEL00079,ORD00079,2024-03-30,09:00-12:00,13.81,39.7,64.09,Delivered
DEL00080,ORD00080,2024-03-29,15:00-18:00,3.35,10.4,39.15,Delivered
DEL00081,ORD00081,2024-03-17,09:00-12:00,16.12,58.4,65.39,Delivered
DEL00082,ORD00082,2024-03-19,09:00-12:00,3.8,11.4,40.3,Returned
DEL00083,ORD00083,2024-03-22,18:00-21:00,37.4,129.0,138.21,Delivered
DEL00084,ORD00084,2024-03-10,18:00-21:00,40.81,182.0,157.05,Delivered
DEL00085,ORD00085,2024-03-10,09:00-12:00,39.37,108.2,121.89,Delivered
DEL00086,ORD00086,2024-03-25,12:00-15:00,12.11,36.1,67.06,Delivered
DEL00087,ORD00087,2024-03-20,09:00-12:00,25.03,109.7,101.49,Delivered
DEL00088,ORD00088,2024-03-12,12:00-15:00,2.36,8.4,36.29,Delivered
DEL00089,ORD00089,2024-03-29,15:00-18:00,27.33,105.3,112.25,Delayed
DEL00090,ORD00090,2024-03-10,12:00-15:00,1.82,5.9,37.38,Delayed
DEL00091,ORD00091,2024-03-26,09:00-12:00,22.77,97.5,86.21,Delivered
DEL00092,ORD00092,2024-03-24,12:00-15:00,21.67,62.5,80.07,Delivered
DEL00093,ORD00093,2024-03-18,15:00-18:00,29.78,124.4,117.75,Delivered
DEL00094,ORD00094,2024-03-02,18:00-21:00,27.43,86.3,110.56,Delivered
DEL00095,ORD00095,2024-03-24,09:00-12:00,43.61,162.4,137.69,Returned
DEL00096,ORD00096,2024-03-09,15:00-18:00,44.85,174.2,171.73,Delayed
DEL00097,ORD00097,2024-03-12,12:00-15:00,14.4,47.4,71.75,Returned
DEL00098,ORD00098,2024-03-27,09:00-12:00,11.77,40.7,62.55,Delayed
DEL00099,ORD00099,2024-03-26,12:00-15:00,22.23,63.6,90.19,Delivered
DEL00100,ORD00100,2024-03-05,15:00-18:00,18.88,76.1,83.89,Delivered
DEL00101,ORD00101,2024-03-01,09:00-12:00,24.21,104.2,82.74,Delivered
DEL00102,ORD00102,2024-03-05,18:00-21:00,36.0,118.2,151.65,Delivered
DEL00103,ORD00103,2024-03-08,18:00-21:00,35.81,90.3,132.51,Delayed
DEL00104,ORD00104,2024-03-28,09:00-12:00,9.71,32.2,56.93,Delivered
DEL00105,ORD00105,2024-03-09,15:00-18:00,14.33,50.6,77.03,Delivered
DEL00106,ORD00106,2024-03-14,18:00-21:00,14.34,47.4,80.76,Delivered
DEL00107,ORD00107,2024-03-14,18:00-21:00,17.12,62.2,93.04,Delivered
DEL00108,ORD00108,2024-03-05,18:00-21:00,20.91,61.7,104.21,Delivered
DEL00109,ORD00109,2024-03-18,15:00-18:00,14.07,57.8,78.34,Delivered
DEL00110,ORD00110,2024-03-24,12:00-15:00,36.95,140.4,140.46,Delivered
DEL00111,ORD00111,2024-03-08,15:00-18:00,13.64,51.9,65.32,Delivered
DEL00112,ORD00112,2024-03-28,15:00-18:00,17.73,63.5,74.37,Delivered
DEL00113,ORD00113,2024-03-23,12:00-15:00,2.38,6.8,34.55,Delivered
DEL00114,ORD00114,2024-03-24,18:00-21:00,24.37,73.3,103.64,Delivered
DEL00115,ORD00115,2024-03-06,09:00-12:00,23.34,101.2,88.93,Delivered
DEL00116,ORD00116,2024-03-02,18:00-21:00,35.75,148.2,145.81,Delivered
DEL00117,ORD00117,2024-03-17,15:00-18:00,16.64,52.3,84.41,Delivered
DEL00118,ORD00118,2024-03-20,15:00-18:00,13.71,48.7,68.65,Delivered
DEL00119,ORD00119,2024-03-01,15:00-18:00,28.24,72.8,112.84,Delivered
DEL00120,ORD00120,2024-03-24,18:00-21:00,4.5,13.2,46.23,Delivered
DEL00121,ORD00121,2024-03-21,18:00-21:00,4.94,13.7,54.95,Delivered
DEL00122,ORD00122,2024-03-04,15:00-18:00,14.22,60.9,78.59,Delivered
DEL00123,ORD00123,2024-03-06,15:00-18:00,6.4,21.8,48.71,Delivered
DEL00124,ORD00124,2024-03-27,12:00-15:00,23.62,96.9,89.14,Delivered
DEL00125,ORD00125,2024-03-25,18:00-21:00,21.34,95.0,100.37,Delivered
DEL00126,ORD00126,2024-03-21,15:00-18:00,5.1,17.6,49.95,Delivered
DEL00127,ORD00127,2024-03-03,09:00-12:00,36.82,154.0,127.62,Delivered
DEL00128,ORD00128,2024-03-18,15:00-18:00,33.68,100.5,118.02,Delivered
DEL00129,ORD00129,2024-03-02,12:00-15:00,11.52,50.4,59.63,Delivered
DEL00130,ORD00130,2024-03-15,18:00-21:00,28.08,71.3,129.97,Delivered
DEL00131,ORD00131,2024-03-22,15:00-18:00,25.26,79.3,97.47,Delivered
DEL00132,ORD00132,2024-03-13,15:00-18:00,18.32,61.0,81.35,Returned
DEL00133,ORD00133,2024-03-10,15:00-18:00,37.36,106.5,140.31,Delivered
DEL00134,ORD00134,2024-03-26,18:00-21:00,26.31,103.4,122.55,Delivered
DEL00135,ORD00135,2024-03-10,12:00-15:00,17.02,52.1,79.7,Delivered
DEL00136,ORD00136,2024-03-10,15:00-18:00,1.61,5.0,34.27,Delivered
DEL00137,ORD00137,2024-03-06,09:00-12:00,29.0,130.0,111.48,Delivered
DEL00138,ORD00138,2024-03-08,12:00-15:00,40.06,151.3,141.26,Delayed
DEL00139,ORD00139,2024-03-26,18:00-21:00,17.22,51.9,81.36,Delivered
DEL00140,ORD00140,2024-03-17,15:00-18:00,44.96,192.7,152.55,Delivered
DEL00141,ORD00141,2024-03-28,15:00-18:00,16.93,44.5,78.44,Delivered
DEL00142,ORD00142,2024-03-29,15:00-18:00,37.0,108.8,142.84,Delivered
