order_id,timestamp,date,hour,day_of_week,sku_id,quantity,picker_id,delivery_slot,fulfillment_time_min,status
ORD00001,2024-03-09 20:50:00,2024-03-09,20,Saturday,SKU017,7,P08,12:00-15:00,53,Delivered
ORD00002,2024-03-02 15:34:00,2024-03-02,15,Saturday,SKU004,6,P01,09:00-12:00,89,Delivered
ORD00003,2024-03-30 19:10:00,2024-03-30,19,Saturday,SKU003,9,P02,12:00-15:00,30,Delivered
ORD00004,2024-03-08 12:56:00,2024-03-08,12,Friday,SKU020,10,P01,09:00-12:00,83,Returned
ORD00005,2024-03-07 17:20:00,2024-03-07,17,Thursday,SKU010,7,P03,15:00-18:00,88,Returned
ORD00006,2024-03-30 07:29:00,2024-03-30,7,Saturday,SKU022,10,P02,09:00-12:00,83,Delivered
ORD00007,2024-03-09 08:22:00,2024-03-09,8,Saturday,SKU031,4,P06,15:00-18:00,35,Delivered
ORD00008,2024-03-18 17:39:00,2024-03-18,17,Monday,SKU036,9,P01,15:00-18:00,37,Delivered
ORD00009,2024-03-29 08:35:00,2024-03-29,8,Friday,SKU008,5,P04,15:00-18:00,41,Delivered
ORD00010,2024-03-28 10:31:00,2024-03-28,10,Thursday,SKU010,1,P02,18:00-21:00,56,Delivered
ORD00011,2024-03-25 08:16:00,2024-03-25,8,Monday,SKU008,8,P07,09:00-12:00,29,Delivered
ORD00012,2024-03-29 17:09:00,2024-03-29,17,Friday,SKU019,6,P03,18:00-21:00,37,Delivered
ORD00013,2024-03-29 20:55:00,2024-03-29,20,Friday,SKU003,6,P04,12:00-15:00,44,Delivered
ORD00014,2024-03-29 19:39:00,2024-03-29,19,Friday,SKU028,4,P03,12:00-15:00,72,Delivered
ORD00015,2024-03-30 11:59:00,2024-03-30,11,Saturday,SKU015,4,P05,12:00-15:00,45,Delivered
ORD00016,2024-03-28 13:12:00,2024-03-28,13,Thursday,SKU029,8,P06,15:00-18:00,44,Delivered
ORD00017,2024-03-22 09:21:00,2024-03-22,9,Friday,SKU011,2,P05,15:00-18:00,80,Delivered
ORD00018,2024-03-27 14:01:00,2024-03-27,14,Wednesday,SKU006,5,P03,15:00-18:00,19,Delivered
ORD00019,2024-03-14 11:50:00,2024-03-14,11,Thursday,SKU012,10,P02,18:00-21:00,99,Delivered
ORD00020,2024-03-23 12:33:00,2024-03-23,12,Saturday,SKU034,9,P04,15:00-18:00,77,Returned
ORD00021,2024-03-30 11:20:00,2024-03-30,11,Saturday,SKU025,2,P05,15:00-18:00,82,Delivered
ORD00022,2024-03-10 15:12:00,2024-03-10,15,Sunday,SKU015,7,P03,15:00-18:00,66,Delivered
ORD00023,2024-03-01 10:13:00,2024-03-01,10,Friday,SKU016,10,P06,18:00-21:00,90,Delivered
